S.no,Gender, Age,Exercise,Diet,,,
1,1,18,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
2,1,18,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
3,1,18,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
4,1,18,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
5,1,18,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
6,1,19,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
7,1,19,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
8,1,19,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
9,1,19,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
10,1,19,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
11,1,20,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
12,1,20,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
13,1,20,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
14,1,20,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
15,1,20,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
16,1,21,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
17,1,21,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
18,1,21,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
19,1,21,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
20,1,21,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
21,1,22,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
22,1,22,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
23,1,22,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
24,1,22,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
25,1,22,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
26,1,23,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
27,1,23,2,"Breakfast – 2 scrambled eggs, 2 slices of whole grain toast, 1 tablespoon of butter, ½ cup melon, 177 ml orange juice
Mid-Morning Snack– 1 cup of low-fat yogurt, ½ cup fresh or frozen berries
Lunch – 1 cup of cooked brown rice, 58 grams of chicken, 1 plate salad made with cucumber, lettuce, tomato, carrot and onion
Evening Snack – ½ cup of dried fruits and nuts mixture
Dinner – Chicken sandwich made with 2 slices of whole-grain bread, 56 grams chicken breast sliced, 1 slice of low-fat cheese, lettuce, tomato and cucumber",,,
28,1,23,3,"Breakfast : 1 bowl curd or 2 glass of buttermilk + 2 bowls poha 0r two bowl oats + 2 egg whites or 25g paneer + 1 small size fruit + 1 tablespoon oil butter
Lunch – 3 medium chapatis + 1 bowl cooked rajma (red kidney beans) + 2 bowl mix vegetable salad + 1 bowl curd + 2 tablespoon oil
Snacks – 1 cup of coffee or warm tea + 2 cream cracker biscuits
Dinner – 2 medium chapattis + 1 bowl soybean nuggets + 1 bowl cooked vegetables + 1 bowl salad + ½ cup mixed cut fruit + 2 tablespoon oil butter",,,
29,1,23,4,"Breakfast: Open paneer sandwich with mint chutney   2 idlis with sambhar   Akki roti with dill leaves and sambhar   2 egg omelet with 2 whole grain bread slices   2 multigrain mixed vegetable parathas + 1 glass of vegetable juice of your choice.
Lunch: 2 multigrain roti   1 Katori red or brown rice + 1 bowl dal   pulses like rajma   Egg bhurji   non-veg subji + 1 bowl low-fat curd
Snack: 1 fruit of your choice   1 glass whey protein drink  1 bowl Sprouts bhel
Dinner: 1 bowl chicken gravy + 1 bowl rice   2 multigrain rotis + salad + 1 bowl low-fat curd   1 bowl vegetable dalia upma or 1 bowl millet vegetable upma + 1 bowl sambhar + 1 bowl of salad or soup
",,,
30,1,23,5,"Breakfast:Paneer Parantha(3 medium peices) Paneer Bhurji + Greek Yogurt  Low-fat Yogurt + Sprout Salad(1 medium bowl)
Lunch:Mixed bean sabzi, Brown rice(1 medium cup) + Broccoli Cauliflower(1 cup cooked)
Dinner:Avocado and White bean salad with cheese dressing",,,
31,1,24,1,"Breakfast Items: Idli – 4 Nos.   Dosa – 3 Nos.  Upma – 1-1 2 cup Bread – 4 Slices  Porridge – 2 Cups  Corn flakes with milk – 2 Cups. Poha – 1 
 Snacks:Cup  Toast – 2 Slices   Samosa – 2   Sandwiches – 2  Biscuits – 5
Lunch:Cereals, Vegetables, Pulses, Vegetables, Milk 
Dinner:Cereals, Vegetables, Pulses, Vegetables, Milk (Curd),Fruit",,,
